id,title,coordinates,type,description,google_map_url,general_url,general_url_title,folktale,folktale_id,heritage,bearing,remark
71,東尋常高等小学校,"[35.777017932108315, 139.02284145355227]",interview,"小河内村には、河内地区にある小河内小学校と、川野地区の川野分校、峰地区の明治分校の３校がありました。
「友達が引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」〔島崎保子さん／81才（昭和19年生まれ）。留浦地区出身〕
ダム建設により945世帯〔小河内村、小菅村（山梨県）、丹波山村（山梨県）３ヵ村合わせて〕という多くの人々の移転がありました。昭和32年７月に小河内小学校が完成し、８月には新校舎へと移転します。３校がひとつになった新たな学び舎での生活が始まりました。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えています」〔同上〕
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
小河内小学校・中学校は平成16年に廃校になりましたが、校舎はいまも現存し、会社の事務所などに活用されています。",https://maps.app.goo.gl/N8DD1gg2eRQuWA827,https://youtu.be/WqjpF6hbolM?si=axZa7OeTfzxVVqoT&t=258,~ダムに沈む小学校~(youtube),,,,,
72,明治分校,"[35.79432017233436, 139.00439858436587]",interview,"小河内村には、河内地区にある小河内小学校と、川野地区の川野分校、峰地区の明治分校の３校がありました。
「友達が引っ越しちゃって、残るのは何人もいなかったの。すごく寂しい思いをして、しょっちゅう泣いてた」〔島崎保子さん／81才（昭和19年生まれ）。留浦地区出身〕
ダム建設により945世帯〔小河内村、小菅村（山梨県）、丹波山村（山梨県）３ヵ村合わせて〕という多くの人々の移転がありました。昭和32年７月に小河内小学校が完成し、８月には新校舎へと移転します。３校がひとつになった新たな学び舎での生活が始まりました。
「先生が、今度行く学校（小河内小学校）を見に、みんなを連れていってくれたんです。はじめて見たとき、白く光ってて、お城みたいで、うわー、すごくキレイ！ って、あの感動はいまも覚えています」〔同上〕
「それまで通っていた学校にトラックが来て、椅子や机、備品類を積んで運んだのを覚えてる。新しい学校に持ってくるんだって、手伝ったこともある」〔島崎軍治さん／80才（昭和20年生まれ）。川野地区出身〕
小河内小学校・中学校は平成16年に廃校になりましたが、校舎はいまも現存し、会社の事務所などに活用されています。",https://maps.app.goo.gl/N8DD1gg2eRQuWA827,https://youtu.be/WqjpF6hbolM?si=axZa7OeTfzxVVqoT&t=258,~ダムに沈む小学校~(youtube),,,,,
73,村役場・農協,"[35.777450969227075,139.0230479836464]",historical,一階が小河内農協として使用さていました。移転後は、奥多摩町役場小河内出張所でしたが、今は閉まっています。,https://maps.app.goo.gl/tfpEAbDJzdxsKqRR7,,,,,,,
74,小河内郵便局,"[35.777929794487285,139.02361548040065]",historical,小河内村唯一の郵便局でした。,https://maps.app.goo.gl/o9mz7gWEU3LxbYKTA,,,,,,,
75,水根駐車場,"[35.79359351920903,139.04765725135806]",parking,水と緑のふれあい館前駐車場がいっぱいなときには、ここに停めることになります。,https://maps.app.goo.gl/ivdY3dS9v9kyWsmx7,,,,,,,
76,水と緑のふれあい館前駐車場,"[35.792303, 139.047241]",parking,少し歩くとトイレあります。,https://maps.app.goo.gl/LFrAeTgpgdVW8RKw7,,,,,,,
77,大麦代駐車場,"[35.789601, 139.043035]",parking,毎月第3日曜日に旧車がたくさん集まります。売店、トイレあります。,https://maps.app.goo.gl/t8fKb8M1gmqKhmhB9,,,,,,,
78,峰谷橋駐車場,"[35.780116, 139.015973]",parking,トイレと、何故か公衆電話があります。,https://maps.app.goo.gl/nEBn7ped9cHYcSwy6,,,,,,,
79,岬の駐車場,"[35.776599, 139.019699]",parking,小河内神社に行くなら、ここに停めます。,https://maps.app.goo.gl/bjWctoFLBtuqgg329,,,,,,,
80,ツネの泣坂（登山道）,"[35.769785, 139.002036]",folktale,"川野の頭領杉田入道重長の館の女中おつねが、修行僧香蘭に会いにくために登ったとされる急坂。
おつねが香蘭に会いたい一心で、泣きながらこの坂を行き来したとされています。昭和45年、奥多摩周遊道路に伴い、新設された橋は「香蘭橋」（長さ94m、幅8.5m）と名づけられています。歌謡曲や川野車人形のオリジナル脚本も作られるなど、奥多摩で一番有名な民話といえます。
なお、危険な急坂ですので、訪れるには登山装備が必要です。",,,おつねの泣き坂,おつねの泣き坂,otsuneno-nakizaka,,,
81,南集落,"[35.77214338175441,139.0174770355225]",folktale,民話「猫踊り秘聞」で、小菅村の頭領小菅遠江守（こすげとおとうみのかみ）の隠し女がいるとされた集落です。小菅遠江守はこの集落に向かう途中、川野の杉田入道に討ち取られたとされています。,,,猫踊り秘聞,猫踊り秘聞,nekoodori-hibun,,,
82,湯場集落,null,folktale,鶴の湯温泉として知られ、多くの宿があった集落。,,,鶴の湯事始め,鶴の湯事始め,tsurunoonsen-kotohazime,,,鶴の湯に合体
83,ダム起工式,"[35.7967916134664,139.05185222625735]",photo,,,,,,,,225,左下
84,ダム建設のための採石場,"[35.78761904730621,139.05026435852054]",photo,,,,,,,,315,左上
85,ダムの水門,"[35.78789754687258,139.0480971336365]",photo,,,,,,,,45,右上
86,水没寸前の河内地区,"[35.781065322726306,139.02483701705935]",photo,,,,,,,,180,下
87,ダム建設予定地,"[35.790334376450055,139.04582262039187]",photo,,,,,,,,90,右
88,岫沢の風景,"[35.76853950420296,139.0219831466675]",photo,,,,,,,,180,下
89,渓流釣りのメッカ,null,photo,,,,,,,,90,"右
（本田橋）"
90,森と川と道,"[35.77461551249305,139.00087952613833]",photo,,,,,,,,270,左
91,小留浦の全景（大寺山山頂より）,"[35.769427431224734,138.98389577865603]",photo,,,,,,,,45,右上
92,留浦集落,"[35.77501592080302,138.98994684219363]",photo,,,,,,,,0,上
93,坂本集落（峰谷橋下）,"[35.77861080074613,139.01449441909793]",photo,,,,,,,,0,上
94,学校が建てられる前の風景,"[35.78422475541858,139.0153527259827]",photo,,,,,,,,0,上
95,木材の搬出（筏づくり）,"[35.783537176073956,139.04739975929263]",photo,,,,,,,,180,下
96,ダム建設のために建てられた宿舎,"[35.78277996155988,139.0431618690491]",photo,,,,,,,,135,右下
97,熱海下流多摩電取入口,"[35.7837808757626,139.04895544052127]",photo,,,,,,,,0,上
98,出野・原全景,"[35.77923749441325,139.03523325920108]",photo,,,,,,,,90,右
